setting,optimizer_family,trial_index,expert_num,expert_lr,expert_momentum,expert_weight_decay,router_lr,router_momentum,router_weight_decay,ns_steps,mean_val_accuracy,std_val_accuracy,mean_val_loss,std_val_loss,mean_val_runtime_seconds
4,original,2,8,0.00095635,0.923076,0.001,0.04790309,0.977977,0.0001,,98.61875,1.208918680060822,0.32711817026138307,0.01212165704678568,49.54259656565264
4,original,3,4,0.00146156,0.866974,0.001,0.01156426,0.937239,0.001,,95.89375,1.6298725026823417,0.35412012338638305,0.016078552040620763,27.392179042473437
4,original,4,8,0.00455965,0.945578,0.001,0.08877746,0.972723,0.001,,98.475,0.5471517157059823,0.32851497530937196,0.005466354069480877,49.60110341841355
4,original,5,4,0.00225054,0.947709,1e-05,0.05307169,0.911688,0.0,,92.80625,4.089353555270074,0.3851612865924835,0.040863073929609375,17.208044602535665
4,original,6,4,0.00245893,0.919266,0.0,0.02056517,0.956238,0.001,,94.5625,3.001366876108284,0.3676406979560852,0.029979987603409298,27.034647585172205
4,original,7,8,0.00434229,0.950559,0.001,0.03037901,0.853784,0.0,,95.48125,1.7297488979617823,0.35847269296646117,0.01731316090013553,49.87001699451357
4,original,8,4,0.00170061,0.858507,1e-05,0.07487727,0.886261,0.0001,,94.45,2.739867697535777,0.36866304874420164,0.027383954159954656,26.495917073264717
4,original,9,8,0.00120568,0.862644,0.0001,0.01749511,0.889844,0.001,,99.13125,0.08244316223920575,0.3218462586402893,0.0008609755539085299,49.92753435429186
4,original,10,4,0.00089442,0.950949,0.0,0.01031746,0.887363,1e-05,,95.0625,1.6335113635968377,0.3625162363052368,0.016357274976357212,27.284565147478133
4,original,11,4,0.00198764,0.913014,0.001,0.13033582,0.983026,0.0001,,97.275,2.4867932413049543,0.3404941260814667,0.024846087733818013,27.140698995068668
4,original,12,4,0.00160051,0.948139,0.0,0.01397553,0.881966,1e-05,,93.83125,3.3294143629172983,0.37526612877845766,0.033669509293524066,20.24239488821477
4,original,13,4,0.00067852,0.934676,1e-05,0.04474372,0.983778,0.0001,,95.83125,4.032998651747853,0.3547272145748138,0.0399853947899744,23.462920683342965
4,original,14,4,0.00081019,0.916308,0.0001,0.01357813,0.934881,0.0001,,97.7125,0.8104300555877725,0.33614736795425415,0.008070229682645967,27.270323640480637
4,original,15,4,0.00056973,0.912944,0.0,0.0953071,0.898574,1e-05,,93.6625,1.2140775819526528,0.37620781660079955,0.011805129661937511,22.578697440680116
4,original,16,4,0.00269355,0.947252,0.0,0.18777044,0.929243,0.001,,92.05625,2.7535772188191854,0.3927042126655579,0.027582184137074885,27.232307888939978
4,original,17,4,0.0047386,0.860486,0.0001,0.02851093,0.89378,0.001,,94.14375,1.9357451730535193,0.3716488003730774,0.019298078228975658,25.057697649020703
4,original,18,4,0.00185005,0.932984,1e-05,0.0252981,0.934049,0.0001,,96.46875,1.4854765649447317,0.34858272075653074,0.014836998030934148,27.2530804364942
4,original,19,4,0.00414491,0.941339,0.0,0.01913036,0.881505,1e-05,,93.5875,0.6194755846681934,0.3774307548999786,0.006175360823260013,27.271889366302638
4,original,20,4,0.00399208,0.978372,0.0,0.11616565,0.875903,1e-05,,95.475,3.064310689208912,0.3585081517696381,0.03063776995477789,23.08282846370712
4,original,21,8,0.0035238,0.871785,0.001,0.10592839,0.982194,1e-05,,99.175,0.5114318136369697,0.3215091943740845,0.005115678434939592,49.61930094826967
4,original,22,4,0.00102059,0.978472,0.0001,0.03744642,0.894036,0.0001,,93.0375,4.413332074521472,0.38264339566230776,0.043994023777544314,17.365926334541292
4,original,23,8,0.00099999,0.888952,0.001,0.06104444,0.988235,0.0,,99.26875,0.21794494717703367,0.32060652375221255,0.002203029830734203,49.8156738021411
